@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 2\nSize of the tree: 3\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

Glass,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,17,4,0,80.952381,19.047619,0,0.746988,0.05358,0.202465,25.187689,62.06778,46.480972,1082.225774,-1035.744803,2.21338,51.534561,-49.321181,36.982497,1.761071,79.56481,0.857143,6,0.071429,1,0.928571,13,0.142857,1,0.857143,0.857143,0.857143,0.785714,0.897959,0.904762,0.809524,0.057644,0.942356,0.190476,?,0.809524,?,?,0.949069,0.899546,?,0.809524,0,0,0,0,0,0,16941,22672,3924,95.238095,17.687075,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25,?
Glass,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,18,4,0,81.818182,18.181818,0,0.75419,0.062343,0.211226,29.4569,65.12518,48.002519,2155.15882,-2107.156301,2.181933,97.961765,-95.779832,35.055264,1.593421,73.027967,1,7,0.133333,2,0.866667,13,0,0,0.777778,1,0.875,0.82102,0.966667,0.875,0.818182,0.049134,0.950866,0.181818,0.838384,0.818182,0.81737,0.776376,0.934578,0.844353,0.705357,0.818182,0.016,0,0.015625,0,15.625,0,14121,22563,4033,90.909091,19.480519,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20,?
Glass,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,13,9,0,59.090909,40.909091,0,0.469169,0.125281,0.303533,58.940078,93.134069,49.182986,2170.876176,-2121.693189,2.23559,98.67619,-96.4406,25.99172,1.181442,52.846974,0.857143,6,0.266667,4,0.733333,11,0.142857,1,0.6,0.857143,0.705882,0.55234,0.833333,0.664502,0.590909,0.129004,0.870996,0.409091,0.678788,0.590909,0.579774,0.484573,0.85882,0.723321,0.670317,0.590909,0,0,0,0,0,0,15813,22563,4033,86.363636,25.974026,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,15,7,0,68.181818,31.818182,0,0.580381,0.10098,0.300382,46.973914,91.010506,50.496248,6449.535202,-6399.038954,2.295284,293.160691,-290.865407,30.204874,1.372949,59.816075,0.714286,5,0.133333,2,0.866667,13,0.285714,2,0.714286,0.714286,0.714286,0.580952,0.757143,0.650093,0.681818,0.115152,0.884848,0.318182,?,0.681818,?,?,0.769318,0.595701,?,0.681818,0,0,0,0,0,0,17505,22563,4033,72.727273,20.12987,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
Glass,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,192,22,12,10,0,54.545455,45.454545,0,0.403794,0.129531,0.332415,60.255054,100.715675,50.496248,6456.898367,-6406.402119,2.295284,293.49538,-291.200096,26.659475,1.211794,52.794963,0.428571,3,0.2,3,0.8,12,0.571429,4,0.5,0.428571,0.461538,0.239046,0.566667,0.424675,0.545455,0.178788,0.821212,0.454545,0.581439,0.545455,0.555944,0.380748,0.720335,0.537154,0.676923,0.545455,0,0,0,0,0,0,16377,22563,4033,68.181818,20.12987,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24,?
Glass,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,16,5,0,76.190476,23.809524,0,0.673913,0.072671,0.250441,34.162751,76.775255,46.480972,4298.931855,-4252.450883,2.21338,204.711041,-202.497661,33.248406,1.583257,71.53122,0.714286,5,0.071429,1,0.928571,13,0.285714,2,0.833333,0.714286,0.769231,0.67082,0.770408,0.654762,0.761905,0.103175,0.896825,0.238095,?,0.761905,?,?,0.837063,0.666667,?,0.761905,0,0,0,0,0,0,17505,22672,3924,80.952381,17.006803,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26,?
Glass,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,13,8,0,61.904762,38.095238,0,0.484663,0.116253,0.315267,54.650576,96.648198,46.480972,5383.18059,-5336.699618,2.21338,256.341933,-254.128553,24.898609,1.185648,53.567317,0.714286,5,0.214286,3,0.785714,11,0.285714,2,0.625,0.714286,0.666667,0.485363,0.77551,0.663265,0.619048,0.155806,0.844194,0.380952,?,0.619048,?,?,0.736723,0.596939,?,0.619048,0.016,0,0.015625,0,15.625,0,15813,22672,3924,66.666667,19.727891,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,15,6,0,71.428571,28.571429,0,0.582781,0.091513,0.261427,43.676562,81.524423,44.430294,2164.420871,-2119.990576,2.115728,103.067661,-100.951932,28.419035,1.353287,63.963194,0.714286,5,0.142857,2,0.857143,12,0.285714,2,0.714286,0.714286,0.714286,0.571429,0.862245,0.650445,0.714286,0.164835,0.835165,0.285714,?,0.714286,?,?,0.849686,0.714547,?,0.714286,0,0,0,0,0,0,12993,22672,3924,85.714286,25.85034,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18,?
Glass,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,15,6,0,71.428571,28.571429,0,0.596154,0.085686,0.253146,40.895457,78.942129,44.430294,2162.11522,-2117.684926,2.115728,102.957868,-100.842139,31.263029,1.488716,70.364218,0.571429,4,0.071429,1,0.928571,13,0.428571,3,0.8,0.571429,0.666667,0.553399,0.841837,0.77619,0.714286,0.148962,0.851038,0.285714,?,0.714286,?,?,0.868219,0.766797,?,0.714286,0,0,0,0,0,0,15813,22672,3924,85.714286,24.489796,'Number of leaves: 23\nSize of the tree: 45\n',45,23,23,?
Glass,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20221204.1411,193,21,13,8,0,61.904762,38.095238,0,0.510204,0.112778,0.318357,53.825922,99.27784,44.430294,4313.331208,-4268.900913,2.115728,205.396724,-203.280996,25.674358,1.222588,57.785704,0.571429,4,0.142857,2,0.857143,12,0.428571,3,0.666667,0.571429,0.615385,0.447214,0.688776,0.495238,0.619048,0.094383,0.905617,0.380952,0.685714,0.619048,0.6221,0.511858,0.798935,0.565533,0.621795,0.619048,0,0,0,0,0,0,14685,22672,3924,71.428571,19.047619,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21,?
